timestamp,expiry,spot,risk_free_rate,strike,bid,ask,T,type,volume,open_interest
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,700.0,0.04,0.05,0.016177676329718418,P,8,141
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,705.0,0.05,0.06,0.016177676329718418,P,39,97
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,710.0,0.06,0.07,0.016177676329718418,P,53,217
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,715.0,0.07,0.08,0.016177676329718418,P,1005,133
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,718.0,0.08,0.09,0.016177676329718418,P,3,186
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,719.0,0.08,0.1,0.016177676329718418,P,10,164
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,720.0,0.09,0.1,0.016177676329718418,P,28,28
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,721.0,0.09,0.1,0.016177676329718418,P,1,1
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,722.0,0.1,0.11,0.016177676329718418,P,2,143
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,723.0,0.1,0.11,0.016177676329718418,P,997,993
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,724.0,0.11,0.12,0.016177676329718418,P,2,108
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,725.0,0.12,0.13,0.016177676329718418,P,8,35
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,726.0,0.12,0.13,0.016177676329718418,P,13,27
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,727.0,0.13,0.14,0.016177676329718418,P,2,2
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,728.0,0.14,0.15,0.016177676329718418,P,1,2
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,729.0,0.15,0.16,0.016177676329718418,P,20,49
